iter	Passed	Remaining
0	1	410
1	2	420
2	4	453
3	6	471
4	8	507
5	10	518
6	12	514
7	14	511
8	16	516
9	17	502
10	19	502
11	21	506
12	23	497
13	25	496
14	27	497
15	28	491
16	30	481
17	31	478
18	33	481
19	36	486
20	37	486
21	39	481
22	40	472
23	41	464
24	43	460
25	44	453
26	46	449
27	47	443
28	48	437
29	50	439
30	52	439
31	54	437
32	55	431
33	56	424
34	57	419
35	58	414
36	59	408
37	61	404
38	62	403
39	63	399
40	65	395
41	66	394
42	68	391
43	69	387
44	70	384
45	71	381
46	73	377
47	74	375
48	75	371
49	76	368
50	77	364
51	79	363
52	81	362
53	82	359
54	83	356
55	84	354
56	86	353
57	88	352
58	89	350
59	90	347
60	92	346
61	93	344
62	94	341
63	95	338
64	97	337
65	98	335
66	99	332
67	101	330
68	102	328
69	104	326
70	105	324
71	106	322
72	108	321
73	109	320
74	111	319
75	112	317
76	113	315
77	115	314
78	116	312
79	118	310
80	119	308
81	120	306
82	122	304
83	123	303
84	125	302
85	126	299
86	127	297
87	128	295
88	129	293
89	131	291
90	132	289
91	134	288
92	135	287
93	137	286
94	138	284
95	139	282
96	140	280
97	142	278
98	143	276
99	144	274
100	145	271
101	146	270
102	148	269
103	149	267
104	150	265
105	152	265
106	154	263
107	155	262
108	157	261
109	158	259
110	159	257
111	160	255
112	161	253
113	163	251
114	164	250
115	165	248
116	167	247
117	168	246
118	170	244
119	171	243
120	172	241
121	174	239
122	175	238
123	176	236
124	178	235
125	179	233
126	180	231
127	181	230
128	182	228
129	184	227
130	186	226
131	188	225
132	189	223
133	190	222
134	192	220
135	193	218
136	194	217
137	196	216
138	198	215
139	199	213
140	200	212
141	201	210
142	203	208
143	204	207
144	205	205
145	207	204
146	208	202
147	209	201
148	211	199
149	212	198
150	213	196
151	214	194
152	215	193
153	216	191
154	218	189
155	219	188
156	220	186
157	222	185
158	223	184
159	225	182
160	226	181
161	228	180
162	229	178
163	230	177
164	232	176
165	233	174
166	234	173
167	236	171
168	237	169
169	238	168
170	240	167
171	241	165
172	251	170
173	253	168
174	254	167
175	255	165
176	256	163
177	257	162
178	259	160
179	260	159
180	261	157
181	262	155
182	264	154
183	265	152
184	266	151
185	268	149
186	269	148
187	270	146
188	271	145
189	272	143
190	274	142
191	275	140
192	277	139
193	278	137
194	279	136
195	281	134
196	282	133
197	283	131
198	284	130
199	286	128
200	287	127
201	289	126
202	291	124
203	292	123
204	294	121
205	295	120
206	296	118
207	297	117
208	299	115
209	300	114
210	302	113
211	303	111
212	304	110
213	306	108
214	307	107
215	308	105
216	309	104
217	310	102
218	312	101
219	313	99
220	314	98
221	316	96
222	317	95
223	318	93
224	319	92
225	321	90
226	322	89
227	324	88
228	325	86
229	327	85
230	328	83
231	330	82
232	331	81
233	333	79
234	334	78
235	335	76
236	337	75
237	338	73
238	339	72
239	341	71
240	342	69
241	343	68
242	345	66
243	346	65
244	348	63
245	349	62
246	351	61
247	353	59
248	354	58
249	356	57
250	357	55
251	359	54
252	360	52
253	361	51
254	363	49
255	364	48
256	365	46
257	368	45
258	371	44
259	374	43
260	377	41
261	391	41
262	400	41
263	401	39
264	403	38
265	404	36
266	406	35
267	409	33
268	412	32
269	414	30
270	417	29
271	419	27
272	421	26
273	423	24
274	425	23
275	427	21
276	429	20
277	431	18
278	433	17
279	435	15
280	436	13
281	438	12
282	440	10
283	442	9
284	444	7
285	445	6
286	447	4
287	448	3
288	450	1
289	452	0
